weight,density,degree,runtime,stretch
1157.0,0.1,5,0.014954,2.69277108434
923.0,0.1,4,0.014674,1.96703296703
1217.0,0.1,4,0.014686,3.1484375
1102.0,0.1,5,0.014789,3.41558441558
1474.0,0.105263157895,4,0.014881,3.77419354839
1950.0,0.1,4,0.015189,4.46305418719
1951.0,0.105263157895,5,0.014847,4.42446043165
1171.0,0.1,5,0.01418,3.6914893617
1517.0,0.1,4,0.015128,3.30281690141
1221.0,0.1,4,0.015043,3.32608695652
1428.0,0.1,5,0.0141149999999,3.11814345992
761.0,0.1,4,0.014902,2.86363636364
1256.0,0.1,5,0.014496,2.48672566372
1394.0,0.1,4,0.014204,3.26016260163
1135.0,0.1,4,0.014394,2.73553719008
1364.0,0.1,5,0.013637,3.6847826087
1832.0,0.105263157895,4,0.015122,3.06315789474
1463.0,0.110526315789,3,0.014784,3.15789473684
1838.0,0.1,4,0.014567,4.42774566474
1680.0,0.1,3,0.014195,3.63636363636
1243.0,0.1,4,0.015562,2.14864864865
1827.0,0.1,3,0.013546,4.89361702128
1447.0,0.1,4,0.014826,3.97633136095
1646.0,0.1,4,0.014379,3.35051546392
974.0,0.1,4,0.014586,3.78217821782
1298.0,0.1,4,0.014659,3.05952380952
1382.0,0.1,3,0.01468,2.50607287449
746.0,0.1,6,0.014792,2.22077922078
1284.0,0.1,3,0.014579,3.26
1228.0,0.1,5,0.015325,3.91803278689
1140.0,0.1,4,0.015241,3.26050420168
1711.0,0.1,3,0.014318,4.14018691589
1142.0,0.1,4,0.014562,4.41025641026
918.0,0.1,4,0.014619,2.68939393939
1432.0,0.1,3,0.015354,4.55483870968
1156.0,0.1,4,0.014942,2.44
1409.0,0.1,4,0.015628,3.37777777778
1416.0,0.1,4,0.01478,2.20289855072
1226.0,0.1,3,0.014692,3.59119496855
1599.0,0.1,4,0.014267,2.6862745098
1301.0,0.1,5,0.013578,3.12804878049
1398.0,0.105263157895,3,0.014641,4.19491525424
1395.0,0.1,3,0.014748,3.48717948718
1372.0,0.1,4,0.013476,3.3488372093
1148.0,0.1,3,0.014752,3.34285714286
1319.0,0.1,4,0.0140950000001,3.34090909091
975.0,0.1,4,0.015012,4.35353535354
1128.0,0.1,5,0.015197,2.52755905512
943.0,0.1,4,0.014206,2.64285714286
1077.0,0.1,4,0.015518,2.65128205128
1052.0,0.1,4,0.014267,3.63725490196
732.0,0.1,4,0.01519,3.63716814159
1052.0,0.1,5,0.015016,3.5350877193
1328.0,0.1,4,0.014354,3.64893617021
1625.0,0.1,4,0.014611,4.69444444444
1573.0,0.1,3,0.014132,3.44615384615
1119.0,0.1,4,0.014887,3.39583333333
1484.0,0.1,3,0.014434,3.25263157895
1084.0,0.1,5,0.015373,3.74747474747
1157.0,0.1,3,0.013937,3.97272727273
1517.0,0.1,4,0.013942,2.68246445498
1043.0,0.1,5,0.014457,2.66883116883
1193.0,0.1,4,0.014463,4.51333333333
1128.0,0.1,3,0.014529,4.64545454545
1655.0,0.1,5,0.015455,2.65838509317
1221.0,0.1,5,0.014451,2.24166666667
1304.0,0.1,4,0.01465,3.12307692308
1612.0,0.1,4,0.014378,2.69477911647
967.0,0.1,5,0.014342,4.27906976744
1307.0,0.1,4,0.014259,3.06145251397
1627.0,0.1,4,0.013735,4.49333333333
1212.0,0.1,5,0.014825,2.55140186916
1357.0,0.1,4,0.013905,3.84615384615
1647.0,0.1,5,0.016712,3.01020408163
1232.0,0.1,4,0.0138700000001,3.71428571429
1331.0,0.1,4,0.015051,2.61585365854
857.0,0.1,3,0.014211,4.20689655172
