weight,density,degree,runtime,stretch
4309.0,0.189473684211,6,0.002566,1.58964143426
5545.0,0.189473684211,6,0.00268500000004,1.49019607843
2082.0,0.131578947368,5,0.00239999999997,2.46268656716
3103.0,0.163157894737,6,0.00240700000006,2.13986013986
1723.0,0.126315789474,5,0.00232500000004,1.43231441048
5440.0,0.221052631579,9,0.00302399999998,1.11153846154
3326.0,0.163157894737,6,0.00254799999993,2.07586206897
5349.0,0.178947368421,7,0.003061,1.20125786164
2906.0,0.152631578947,6,0.002568,1.66477272727
6365.0,0.210526315789,8,0.00270399999999,1.75
2187.0,0.131578947368,6,0.002657,1.86585365854
2890.0,0.157894736842,7,0.00266699999997,2.05726872247
2373.0,0.147368421053,5,0.00262900000007,1.79545454545
4536.0,0.173684210526,6,0.00256200000001,1.8407079646
6069.0,0.189473684211,6,0.00275599999998,2.62068965517
3221.0,0.142105263158,7,0.00314100000003,1.58498023715
2927.0,0.163157894737,5,0.00266899999997,1.82142857143
3483.0,0.157894736842,5,0.00232199999994,1.88888888889
2027.0,0.136842105263,6,0.00282300000003,1.66497461929
4005.0,0.189473684211,5,0.00272600000005,1.53846153846
1227.0,0.110526315789,4,0.00260400000002,2.27611940299
2295.0,0.142105263158,6,0.00262999999995,2.30769230769
3328.0,0.147368421053,8,0.00241400000004,1.85294117647
4863.0,0.194736842105,7,0.00307999999995,1.70588235294
2670.0,0.147368421053,6,0.00257999999997,2.828125
1782.0,0.121052631579,6,0.00234999999998,2.13529411765
4614.0,0.189473684211,8,0.00287300000002,2.41871921182
2933.0,0.163157894737,6,0.002658,1.4693877551
2187.0,0.131578947368,5,0.00239299999998,1.68518518519
3677.0,0.147368421053,5,0.00242100000003,2.08235294118
3015.0,0.152631578947,5,0.00260600000001,1.22155688623
3949.0,0.168421052632,6,0.00272699999994,1.74871794872
5085.0,0.184210526316,6,0.002387,2.33027522936
5039.0,0.205263157895,6,0.00297599999999,1.52558139535
5022.0,0.184210526316,8,0.00257099999999,1.95541401274
4341.0,0.189473684211,6,0.00285200000008,1.81818181818
3443.0,0.168421052632,5,0.00259399999993,1.2380952381
5697.0,0.184210526316,6,0.00258499999995,1.75933609959
1867.0,0.142105263158,5,0.00243899999998,2.30434782609
3781.0,0.152631578947,6,0.002205,3.9504950495
4323.0,0.168421052632,6,0.00247100000001,1.99295774648
2918.0,0.142105263158,6,0.00242900000001,3.10067114094
3667.0,0.173684210526,6,0.00252399999999,2.45774647887
4674.0,0.189473684211,6,0.00241299999993,2.00568181818
3180.0,0.168421052632,5,0.00231799999995,2.09655172414
2020.0,0.126315789474,5,0.00265899999999,2.06315789474
5148.0,0.178947368421,6,0.002432,2.06666666667
3859.0,0.168421052632,6,0.002611,1.42696629213
3265.0,0.163157894737,7,0.00260800000001,2.3137254902
2131.0,0.157894736842,6,0.00271000000009,1.79908675799
6523.0,0.210526315789,7,0.002838,1.48188405797
3407.0,0.157894736842,5,0.00254700000005,1.19031141869
2177.0,0.131578947368,6,0.00217599999996,2.9552238806
2961.0,0.142105263158,6,0.00258900000006,1.55747126437
3807.0,0.184210526316,7,0.00275099999999,1.329004329
2654.0,0.147368421053,6,0.00242000000003,1.75221238938
3107.0,0.157894736842,5,0.00286199999994,1.59825327511
2707.0,0.136842105263,7,0.002567,1.5611814346
1576.0,0.147368421053,5,0.00239999999997,1.12871287129
1844.0,0.131578947368,5,0.00241199999994,1.74074074074
1915.0,0.131578947368,6,0.00247999999999,2.46218487395
3078.0,0.157894736842,5,0.00233400000002,2.17021276596
2857.0,0.163157894737,6,0.00271999999995,2.11111111111
2376.0,0.131578947368,5,0.00233900000001,1.74418604651
5525.0,0.210526315789,8,0.00264900000002,1.73125
3349.0,0.168421052632,5,0.00333799999999,1.15962441315
5461.0,0.2,7,0.00266700000009,1.93076923077
3191.0,0.168421052632,6,0.00243699999999,1.536
3290.0,0.157894736842,7,0.00251300000002,1.5035971223
3117.0,0.163157894737,6,0.00281099999995,2.45967741935
2751.0,0.121052631579,6,0.0022469999999,2.32352941176
4140.0,0.168421052632,5,0.00277100000005,1.61594202899
2800.0,0.152631578947,5,0.00254399999994,1.23041474654
5925.0,0.205263157895,6,0.00287700000001,1.70512820513
3408.0,0.163157894737,6,0.00263299999995,1.65284974093
3074.0,0.147368421053,5,0.00264100000004,1.56956521739
1801.0,0.136842105263,6,0.00261799999998,1.31818181818
3081.0,0.157894736842,7,0.00260600000001,1.53012048193
1915.0,0.131578947368,6,0.00237399999992,1.96296296296
3651.0,0.163157894737,5,0.0024719999999,1.79389312977
3634.0,0.163157894737,6,0.00288399999999,1.85106382979
2416.0,0.142105263158,5,0.00245900000004,1.55555555556
